claim_id,policy_id,customer_id,claim_date,claim_amount,claim_status,resolution_date
1,POL047631,1,2024-06-27,15109,0,2024-01-10
2,POL042460,2,2024-10-23,55263,0,2024-02-14
3,POL050280,3,2024-11-01,50755,1,2024-03-14
4,POL032069,4,2024-06-05,65814,0,2024-07-16
5,POL058212,5,2024-02-02,411,0,2024-07-09
6,POL031558,6,2024-08-04,2497,0,2024-02-12
7,POL051424,7,2024-10-10,25528,0,2024-01-12
8,POL039202,8,2024-11-07,96743,0,2024-06-11
9,POL051837,9,2024-04-27,37332,0,2024-01-13
10,POL019345,10,2024-04-02,67133,0,2024-11-09
11,POL046629,11,2024-07-17,34407,0,2024-04-28
12,POL048488,12,2024-11-26,70519,0,2024-03-20
13,POL042405,13,2024-01-31,66130,0,2024-04-12
14,POL025380,14,2024-01-01,39005,0,2024-08-21
15,POL016022,15,2024-03-30,40439,0,2024-10-16
16,POL018564,16,2024-01-12,36806,0,2024-10-15
17,POL017795,17,2024-07-22,41279,0,2024-10-11
18,POL050628,18,2024-04-25,94280,0,2024-01-24
19,POL036953,19,2024-11-01,54724,0,2024-05-26
20,POL031268,20,2024-01-31,28273,0,2024-03-18
21,POL012008,21,2024-11-06,72555,1,2024-08-13
22,POL041165,22,2024-04-06,70911,0,2024-02-04
23,POL048143,23,2024-05-11,67212,0,2024-07-12
24,POL021590,24,2024-02-04,47112,0,2024-08-26
25,POL002870,25,2024-04-12,26860,0,2024-11-09
26,POL001057,26,2024-02-26,79096,0,2024-06-20
27,POL009331,27,2024-06-08,23011,0,2024-04-07
28,POL014044,28,2024-03-21,2026,0,2024-08-11
29,POL052627,29,2024-11-02,75936,0,2024-06-19
30,POL037417,30,2024-02-25,44457,0,2024-10-16
31,POL006381,31,2024-07-04,13880,0,2024-11-08
32,POL045005,32,2024-07-06,28690,0,2024-08-09
33,POL022638,33,2024-02-23,62558,0,2024-06-11
34,POL018955,34,2024-02-28,84216,0,2024-03-18
35,POL006185,35,2024-04-06,23097,0,2024-11-15
36,POL009783,36,2024-02-09,59053,0,2024-01-18
37,POL056126,37,2024-03-01,13694,0,2024-08-16
38,POL008028,38,2024-11-03,33600,0,2024-05-23
39,POL031647,39,2024-11-15,63341,0,2024-03-01
40,POL033786,40,2024-02-13,80492,0,2024-09-17
41,POL005979,41,2024-06-07,74219,0,2024-09-03
42,POL003619,42,2024-09-03,51957,1,2024-02-28
43,POL053751,43,2024-01-16,15696,0,2024-11-14
44,POL002411,44,2024-07-11,52144,0,2024-04-01
45,POL009714,45,2024-01-15,92355,0,2024-01-17
46,POL032074,46,2024-10-03,34804,0,2024-02-24
47,POL002146,47,2024-08-26,19570,0,2024-02-03
48,POL049207,48,2024-01-22,29441,0,2024-11-28
49,POL034108,49,2024-10-23,11121,0,2024-01-13
50,POL013898,50,2024-10-20,44078,0,2024-06-13
51,POL030535,51,2024-04-27,37987,0,2024-08-25
52,POL004997,52,2024-05-16,66964,0,2024-05-24
53,POL034433,53,2024-01-13,66972,0,2024-02-16
54,POL048655,54,2024-04-02,23552,0,2024-04-14
55,POL008081,55,2024-01-20,79817,0,2024-08-20
56,POL041982,56,2024-01-09,90947,0,2024-11-04
57,POL041633,57,2024-02-26,14953,0,2024-03-30
58,POL000718,58,2024-01-15,64952,1,2024-11-12
59,POL012776,59,2024-11-22,87456,0,2024-08-17
60,POL016861,60,2024-10-15,76951,0,2024-03-08
61,POL000094,61,2024-10-18,57860,0,2024-06-30
62,POL027490,62,2024-10-05,43315,0,2024-11-15
63,POL036854,63,2024-08-27,63008,0,2024-11-05
64,POL003536,64,2024-10-15,88547,0,2024-07-19
65,POL010743,65,2024-11-29,60218,0,2024-05-12
66,POL038091,66,2024-05-28,33798,0,2024-07-18
67,POL051903,67,2024-08-16,28733,0,2024-01-26
68,POL042823,68,2024-06-14,41512,0,2024-08-12
69,POL057713,69,2024-11-04,60077,0,2024-10-24
70,POL020582,70,2024-01-01,78294,0,2024-03-05
71,POL046732,71,2024-01-18,8074,1,2024-04-04
72,POL011338,72,2024-11-13,24243,0,2024-10-05
73,POL015607,73,2024-03-11,84921,0,2024-08-03
74,POL029145,74,2024-03-21,16604,0,2024-05-18
75,POL050945,75,2024-01-02,87900,0,2024-08-14
76,POL044148,76,2024-09-13,43379,0,2024-08-28
77,POL002851,77,2024-04-02,94801,0,2024-10-09
78,POL052844,78,2024-10-14,32732,0,2024-09-20
79,POL029146,79,2024-04-29,45928,0,2024-05-30
80,POL025305,80,2024-11-09,97150,0,2024-07-11
81,POL036624,81,2024-07-19,54844,0,2024-02-14
82,POL010329,82,2024-01-03,68311,0,2024-07-12
83,POL045396,83,2024-10-22,41017,1,2024-01-04
84,POL041255,84,2024-06-05,67556,0,2024-01-18
85,POL044271,85,2024-08-29,61886,1,2024-08-17
86,POL043300,86,2024-04-06,94249,0,2024-04-14
87,POL045304,87,2024-06-23,98468,0,2024-06-08
88,POL025163,88,2024-10-30,65174,0,2024-06-21
89,POL026051,89,2024-07-22,28231,0,2024-11-10
90,POL025987,90,2024-02-11,31339,0,2024-10-26
91,POL001838,91,2024-03-29,94675,0,2024-09-05
92,POL042994,92,2024-01-26,36937,1,2024-02-17
93,POL015898,93,2024-01-17,38148,0,2024-07-20
94,POL029743,94,2024-09-06,17713,0,2024-07-29
95,POL047292,95,2024-08-02,39560,0,2024-10-02
96,POL021930,96,2024-07-15,68940,0,2024-06-06
97,POL029033,97,2024-02-01,44991,0,2024-09-26
98,POL047904,98,2024-02-05,26066,0,2024-05-12
99,POL026147,99,2024-05-11,33659,0,2024-07-05
100,POL016862,100,2024-01-02,9021,0,2024-06-20
101,POL008957,101,2024-02-02,28276,1,2024-07-15
102,POL051047,102,2024-07-20,50655,0,2024-04-15
103,POL004456,103,2024-07-03,31790,0,2024-04-23
104,POL010586,104,2024-06-05,41916,0,2024-01-19
105,POL041362,105,2024-05-24,33831,0,2024-07-03
106,POL001703,106,2024-06-17,86696,0,2024-05-14
107,POL036472,107,2024-03-10,79721,0,2024-05-07
108,POL001010,108,2024-03-04,72394,0,2024-01-08
109,POL028131,109,2024-07-17,6594,0,2024-07-07
110,POL050407,110,2024-03-14,8121,1,2024-09-10
111,POL034507,111,2024-10-13,63399,0,2024-05-18
112,POL038248,112,2024-01-24,96083,0,2024-11-15
113,POL008453,113,2024-08-12,33849,0,2024-09-03
114,POL030944,114,2024-05-02,97932,0,2024-11-24
115,POL023002,115,2024-01-24,29909,0,2024-10-30
116,POL036778,116,2024-10-21,92421,0,2024-07-03
117,POL048279,117,2024-05-15,70785,0,2024-03-06
118,POL040448,118,2024-07-25,32801,0,2024-10-01
119,POL038088,119,2024-02-12,78734,0,2024-03-25
120,POL013140,120,2024-02-18,28385,0,2024-04-08
121,POL049867,121,2024-06-25,51344,0,2024-10-12
122,POL001200,122,2024-03-06,33294,0,2024-04-09
123,POL030028,123,2024-02-15,94567,0,2024-04-19
124,POL058386,124,2024-04-10,37415,0,2024-05-07
125,POL014435,125,2024-07-02,76897,0,2024-07-09
126,POL027909,126,2024-05-22,83007,0,2024-09-07
127,POL005162,127,2024-08-14,9948,0,2024-04-14
128,POL007383,128,2024-01-19,54271,0,2024-07-09
129,POL026569,129,2024-02-18,78737,0,2024-04-18
130,POL024280,130,2024-09-12,67906,0,2024-02-29
131,POL019709,131,2024-10-19,35700,1,2024-09-08
132,POL006320,132,2024-02-23,2985,0,2024-08-01
133,POL043099,133,2024-10-12,71477,0,2024-03-25
134,POL006440,134,2024-02-10,8482,0,2024-05-11
135,POL040171,135,2024-03-15,59242,0,2024-01-10
136,POL052387,136,2024-02-01,25887,0,2024-04-10
137,POL024343,137,2024-07-14,19239,0,2024-07-18
138,POL032203,138,2024-11-20,23659,0,2024-06-01
139,POL016576,139,2024-11-15,51480,0,2024-09-27
140,POL039622,140,2024-01-24,67711,0,2024-07-14
141,POL023547,141,2024-10-31,65610,0,2024-03-31
142,POL017444,142,2024-03-16,35385,0,2024-05-23
143,POL013268,143,2024-05-17,67796,0,2024-07-11
144,POL009971,144,2024-08-01,34065,1,2024-06-02
145,POL038831,145,2024-10-22,72209,0,2024-10-26
146,POL019137,146,2024-02-08,29978,0,2024-10-17
147,POL033904,147,2024-09-27,89194,0,2024-10-15
148,POL004084,148,2024-11-27,6164,0,2024-04-01
149,POL011568,149,2024-03-07,60273,0,2024-08-20
150,POL022131,150,2024-02-10,14862,0,2024-10-18
