policy_id,subscription_length,claim_status,vehicle_id,customer_id
POL047631,0.3,0,1,1
POL042460,10.5,0,2,2
POL050280,10.2,1,3,3
POL032069,10.3,0,4,4
POL058212,8.8,0,5,5
POL031558,0.7,0,6,6
POL051424,0.9,0,7,7
POL039202,7.7,0,8,8
POL051837,6.4,0,9,9
POL019345,2.6,0,10,10
POL046629,0.9,0,11,11
POL048488,1.8,0,12,12
POL042405,4.6,0,13,13
POL025380,2.7,0,14,14
POL016022,0.9,0,15,15
POL018564,0.4,0,16,16
POL017795,10.6,0,17,17
POL050628,1.0,0,18,18
POL036953,11.1,0,19,19
POL031268,5.0,0,20,20
POL012008,11.1,1,21,21
POL041165,6.8,0,22,22
POL048143,0.1,0,23,23
POL021590,0.4,0,24,24
POL002870,9.7,0,25,25
POL001057,11.7,0,26,26
POL009331,8.8,0,27,27
POL014044,3.4,0,28,28
POL052627,3.8,0,29,29
POL037417,6.5,0,30,30
POL006381,9.6,0,31,31
POL045005,6.8,0,32,32
POL022638,2.8,0,33,33
POL018955,1.6,0,34,34
POL006185,10.4,0,35,35
POL009783,3.5,0,36,36
POL056126,5.4,0,37,37
POL008028,9.0,0,38,38
POL031647,10.1,0,39,39
POL033786,12.3,0,40,40
POL005979,5.4,0,41,41
POL003619,5.5,1,42,42
POL053751,7.1,0,43,43
POL002411,2.9,0,44,44
POL009714,11.3,0,45,45
POL032074,3.6,0,46,46
POL002146,4.3,0,47,47
POL049207,11.3,0,48,48
POL034108,11.7,0,49,49
POL013898,0.9,0,50,50
POL030535,1.7,0,51,51
POL004997,12.5,0,52,52
POL034433,7.0,0,53,53
POL048655,10.6,0,54,54
POL008081,1.1,0,55,55
POL041982,0.8,0,56,56
POL041633,10.7,0,57,57
POL000718,10.2,1,58,58
POL012776,10.3,0,59,59
POL016861,0.1,0,60,60
POL000094,0.4,0,61,61
POL027490,6.7,0,62,62
POL036854,0.4,0,63,63
POL003536,12.5,0,64,64
POL010743,12.1,0,65,65
POL038091,11.5,0,66,66
POL051903,6.0,0,67,67
POL042823,2.1,0,68,68
POL057713,2.3,0,69,69
POL020582,5.8,0,70,70
POL046732,7.9,1,71,71
POL011338,11.2,0,72,72
POL015607,10.8,0,73,73
POL029145,10.3,0,74,74
POL050945,7.8,0,75,75
POL044148,11.0,0,76,76
POL002851,3.5,0,77,77
POL052844,1.7,0,78,78
POL029146,7.4,0,79,79
POL025305,2.1,0,80,80
POL036624,2.4,0,81,81
POL010329,0.9,0,82,82
POL045396,8.1,1,83,83
POL041255,1.1,0,84,84
POL044271,2.3,1,85,85
POL043300,7.5,0,86,86
POL045304,3.0,0,87,87
POL025163,0.3,0,88,88
POL026051,2.6,0,89,89
POL025987,2.8,0,90,90
POL001838,4.0,0,91,91
POL042994,5.6,1,92,92
POL015898,3.7,0,93,93
POL029743,6.6,0,94,94
POL047292,6.0,0,95,95
POL021930,12.3,0,96,96
POL029033,12.4,0,97,97
POL047904,9.6,0,98,98
POL026147,11.0,0,99,99
POL016862,2.5,0,100,100
POL008957,1.0,1,101,101
POL051047,5.9,0,102,102
POL004456,10.5,0,103,103
POL010586,1.5,0,104,104
POL041362,0.5,0,105,105
POL001703,4.5,0,106,106
POL036472,0.9,0,107,107
POL001010,4.8,0,108,108
POL028131,1.6,0,109,109
POL050407,10.5,1,110,110
POL034507,1.8,0,111,111
POL038248,5.2,0,112,112
POL008453,1.2,0,113,113
POL030944,11.1,0,114,114
POL023002,3.7,0,115,115
POL036778,0.6,0,116,116
POL048279,3.0,0,117,117
POL040448,8.8,0,118,118
POL038088,0.9,0,119,119
POL013140,10.1,0,120,120
POL049867,5.7,0,121,121
POL001200,5.4,0,122,122
POL030028,4.7,0,123,123
POL058386,5.1,0,124,124
POL014435,6.5,0,125,125
POL027909,11.7,0,126,126
POL005162,10.4,0,127,127
POL007383,0.9,0,128,128
POL026569,5.6,0,129,129
POL024280,8.7,0,130,130
