payment_id,policy_id,customer_id,payment_date,amount,payment_method,payment_status
1,POL047631,1,2024-06-22,83963,paypal,declined
2,POL042460,2,2024-04-03,99305,card,success
3,POL050280,3,2024-09-21,36381,card,declined
4,POL032069,4,2024-01-06,4391,card,success
5,POL058212,5,2024-09-20,53428,card,in progress
6,POL031558,6,2024-06-05,18089,card,declined
7,POL051424,7,2024-04-10,90502,others,in progress
8,POL039202,8,2024-02-20,98968,others,declined
9,POL051837,9,2024-08-11,58298,paypal,in progress
10,POL019345,10,2024-09-01,26302,paypal,success
11,POL046629,11,2024-02-17,71029,card,success
12,POL048488,12,2024-11-02,47147,others,success
13,POL042405,13,2024-09-28,10676,paypal,declined
14,POL025380,14,2024-03-25,77829,paypal,declined
15,POL016022,15,2024-08-06,962,others,declined
16,POL018564,16,2024-10-21,50401,paypal,declined
17,POL017795,17,2024-05-28,19148,others,declined
18,POL050628,18,2024-07-28,21465,card,in progress
19,POL036953,19,2024-05-05,6675,others,in progress
20,POL031268,20,2024-10-19,62420,paypal,in progress
21,POL012008,21,2024-11-02,28944,paypal,in progress
22,POL041165,22,2024-03-26,67622,paypal,success
23,POL048143,23,2024-09-05,17141,paypal,in progress
24,POL021590,24,2024-02-15,10934,others,in progress
25,POL002870,25,2024-10-19,85187,card,declined
26,POL001057,26,2024-10-16,91295,paypal,success
27,POL009331,27,2024-01-10,28058,others,in progress
28,POL014044,28,2024-08-10,4711,others,in progress
29,POL052627,29,2024-01-25,96940,paypal,in progress
30,POL037417,30,2024-07-17,47132,card,in progress
31,POL006381,31,2024-07-27,54595,others,declined
32,POL045005,32,2024-02-16,79883,others,declined
33,POL022638,33,2024-09-08,42701,paypal,in progress
34,POL018955,34,2024-05-08,74034,card,success
35,POL006185,35,2024-11-29,73971,card,success
36,POL009783,36,2024-02-09,32239,others,in progress
37,POL056126,37,2024-02-16,26705,others,in progress
38,POL008028,38,2024-05-10,48470,card,declined
39,POL031647,39,2024-07-11,81767,others,declined
40,POL033786,40,2024-04-25,61881,card,declined
41,POL005979,41,2024-04-19,40132,card,success
42,POL003619,42,2024-05-11,50724,card,declined
43,POL053751,43,2024-11-01,44295,paypal,success
44,POL002411,44,2024-02-19,46195,card,success
45,POL009714,45,2024-06-15,96506,others,success
46,POL032074,46,2024-11-28,13826,card,success
47,POL002146,47,2024-02-13,13900,card,in progress
48,POL049207,48,2024-10-09,63373,others,in progress
49,POL034108,49,2024-01-07,73551,others,success
50,POL013898,50,2024-08-06,49933,card,in progress
51,POL030535,51,2024-01-23,31012,others,success
52,POL004997,52,2024-04-06,50071,card,in progress
53,POL034433,53,2024-07-13,59040,others,declined
54,POL048655,54,2024-03-01,17446,paypal,declined
55,POL008081,55,2024-04-25,2810,others,success
56,POL041982,56,2024-03-11,35910,card,declined
57,POL041633,57,2024-04-10,68057,card,success
58,POL000718,58,2024-05-05,61803,card,in progress
59,POL012776,59,2024-04-26,13633,others,success
60,POL016861,60,2024-07-04,57688,paypal,declined
61,POL000094,61,2024-02-23,2242,paypal,success
62,POL027490,62,2024-11-23,89488,others,declined
63,POL036854,63,2024-02-05,34629,paypal,declined
64,POL003536,64,2024-08-05,33435,paypal,declined
65,POL010743,65,2024-10-31,12087,paypal,in progress
66,POL038091,66,2024-02-02,52344,others,declined
67,POL051903,67,2024-05-22,88812,others,success
68,POL042823,68,2024-06-26,33086,card,success
69,POL057713,69,2024-09-29,20270,paypal,in progress
70,POL020582,70,2024-01-08,42200,card,in progress
71,POL046732,71,2024-01-24,52318,card,success
72,POL011338,72,2024-01-10,74399,card,in progress
73,POL015607,73,2024-11-17,22270,paypal,declined
74,POL029145,74,2024-11-27,56569,paypal,in progress
75,POL050945,75,2024-05-01,68112,paypal,success
76,POL044148,76,2024-07-04,16416,others,in progress
77,POL002851,77,2024-03-10,16264,paypal,success
78,POL052844,78,2024-04-03,42704,paypal,declined
79,POL029146,79,2024-06-26,75256,paypal,declined
80,POL025305,80,2024-08-05,9647,paypal,in progress
81,POL036624,81,2024-10-26,60642,others,declined
82,POL010329,82,2024-11-23,21311,others,in progress
83,POL045396,83,2024-05-06,70004,card,in progress
84,POL041255,84,2024-11-01,96947,card,success
85,POL044271,85,2024-06-20,10480,others,success
86,POL043300,86,2024-08-12,61257,paypal,in progress
87,POL045304,87,2024-03-19,65986,card,in progress
88,POL025163,88,2024-03-08,51622,paypal,in progress
89,POL026051,89,2024-01-10,53291,others,in progress
90,POL025987,90,2024-11-26,97955,paypal,in progress
91,POL001838,91,2024-02-20,43069,card,in progress
92,POL042994,92,2024-01-01,6439,others,declined
93,POL015898,93,2024-08-09,54434,card,declined
94,POL029743,94,2024-06-20,84405,others,success
95,POL047292,95,2024-08-28,23935,paypal,declined
96,POL021930,96,2024-03-04,4422,paypal,success
97,POL029033,97,2024-08-15,18697,others,declined
98,POL047904,98,2024-11-07,64207,card,declined
99,POL026147,99,2024-09-28,81596,card,success
100,POL016862,100,2024-01-21,10503,card,in progress
101,POL008957,101,2024-07-11,2550,paypal,success
102,POL051047,102,2024-11-29,33959,card,in progress
103,POL004456,103,2024-02-27,21266,paypal,in progress
104,POL010586,104,2024-11-26,13459,card,success
105,POL041362,105,2024-08-02,55444,others,success
106,POL001703,106,2024-04-10,5841,paypal,success
107,POL036472,107,2024-03-23,94678,paypal,in progress
108,POL001010,108,2024-08-05,51156,paypal,success
109,POL028131,109,2024-06-09,99680,others,in progress
110,POL050407,110,2024-03-12,5880,paypal,declined
111,POL034507,111,2024-04-14,96957,card,declined
112,POL038248,112,2024-11-24,99423,card,success
113,POL008453,113,2024-06-29,50199,card,in progress
114,POL030944,114,2024-04-28,58046,paypal,success
115,POL023002,115,2024-04-19,54873,paypal,declined
116,POL036778,116,2024-02-11,14984,others,declined
117,POL048279,117,2024-04-09,25397,others,success
118,POL040448,118,2024-03-10,47124,others,declined
119,POL038088,119,2024-05-01,5859,card,in progress
120,POL013140,120,2024-08-30,28157,paypal,declined
121,POL049867,121,2024-05-25,54947,others,in progress
122,POL001200,122,2024-02-16,60515,card,in progress
123,POL030028,123,2024-03-29,92710,paypal,success
124,POL058386,124,2024-06-08,73985,card,declined
125,POL014435,125,2024-11-15,61490,card,success
126,POL027909,126,2024-06-05,60633,card,declined
127,POL005162,127,2024-06-11,2626,card,success
128,POL007383,128,2024-07-03,38479,others,success
129,POL026569,129,2024-07-16,34416,card,in progress
130,POL024280,130,2024-11-02,79191,others,in progress
131,POL019709,131,2024-09-02,73045,paypal,declined
132,POL006320,132,2024-01-08,73918,others,success
133,POL043099,133,2024-06-06,23552,card,in progress
134,POL006440,134,2024-07-26,49563,others,declined
135,POL040171,135,2024-04-19,36094,card,declined
136,POL052387,136,2024-06-20,87150,paypal,success
137,POL024343,137,2024-03-22,16491,paypal,in progress
138,POL032203,138,2024-06-23,87077,others,declined
139,POL016576,139,2024-01-09,16226,paypal,in progress
140,POL039622,140,2024-04-22,13044,card,in progress
141,POL023547,141,2024-05-22,19394,others,success
142,POL017444,142,2024-10-09,65565,others,success
143,POL013268,143,2024-04-13,70334,card,in progress
144,POL009971,144,2024-07-26,84415,paypal,declined
145,POL038831,145,2024-10-26,29823,others,in progress
146,POL019137,146,2024-09-02,7523,paypal,success
147,POL033904,147,2024-03-19,99043,card,declined
148,POL004084,148,2024-07-19,43338,others,in progress
149,POL011568,149,2024-07-25,19003,others,in progress
150,POL022131,150,2024-11-29,57892,others,success
151,POL042272,151,2024-04-14,35901,card,in progress
152,POL025410,152,2024-02-07,7391,paypal,success
153,POL026292,153,2024-05-30,52527,card,success
154,POL052344,154,2024-08-12,61771,card,in progress
155,POL016470,155,2024-08-15,95377,others,in progress
156,POL054739,156,2024-01-27,33431,card,in progress
157,POL048625,157,2024-10-08,9222,card,in progress
158,POL008382,158,2024-12-01,50136,card,success
159,POL039963,159,2024-07-08,79055,card,success
160,POL004241,160,2024-01-10,43935,paypal,success
161,POL041601,161,2024-03-23,49210,paypal,in progress
162,POL000218,162,2024-11-07,20002,paypal,declined
163,POL033247,163,2024-04-29,46126,others,declined
164,POL014186,164,2024-07-09,99182,card,success
165,POL055040,165,2024-03-01,62905,paypal,in progress
166,POL019014,166,2024-07-11,53355,card,declined
167,POL041757,167,2024-03-08,4278,paypal,declined
168,POL052318,168,2024-04-09,35445,paypal,declined
169,POL017343,169,2024-11-03,90177,paypal,declined
170,POL006248,170,2024-02-13,68412,paypal,success
171,POL048416,171,2024-09-10,45205,paypal,declined
172,POL009062,172,2024-04-17,33263,others,in progress
173,POL058171,173,2024-07-07,94819,card,declined
174,POL027221,174,2024-10-01,1591,others,declined
175,POL042693,175,2024-11-25,28516,others,success
176,POL016101,176,2024-10-09,52831,paypal,in progress
177,POL025390,177,2024-05-16,84874,others,success
178,POL054902,178,2024-10-02,94735,card,in progress
179,POL056618,179,2024-11-01,4256,others,success
180,POL050742,180,2024-08-27,9313,card,success
181,POL049624,181,2024-06-20,48994,card,success
182,POL008000,182,2024-10-22,49735,card,success
183,POL044616,183,2024-10-05,34796,others,declined
184,POL033486,184,2024-03-09,69484,card,declined
185,POL048254,185,2024-01-18,50432,paypal,success
186,POL011915,186,2024-08-14,83458,paypal,success
187,POL004461,187,2024-05-29,16959,others,declined
188,POL019003,188,2024-08-20,81705,others,success
189,POL026296,189,2024-01-02,61944,others,declined
190,POL042389,190,2024-09-14,57373,others,declined
191,POL022795,191,2024-08-02,52618,card,success
192,POL048879,192,2024-11-21,91110,others,in progress
193,POL058039,193,2024-08-17,86443,card,declined
194,POL039038,194,2024-10-18,64302,card,declined
195,POL021022,195,2024-09-09,67503,paypal,declined
196,POL019169,196,2024-01-27,61459,paypal,declined
197,POL049424,197,2024-07-13,8174,card,in progress
198,POL010420,198,2024-04-30,70361,card,success
199,POL037837,199,2024-07-08,47907,card,in progress
200,POL051775,200,2024-04-22,14149,card,success
201,POL001786,201,2024-09-25,24238,others,in progress
202,POL016696,202,2024-10-23,88112,paypal,success
203,POL031980,203,2024-03-15,85643,others,declined
204,POL034268,204,2024-04-09,18059,others,in progress
205,POL015099,205,2024-11-12,8929,others,in progress
206,POL001193,206,2024-04-27,61923,paypal,success
207,POL034860,207,2024-03-31,14427,others,in progress
208,POL000461,208,2024-08-30,94715,card,declined
209,POL012238,209,2024-05-13,55482,others,in progress
210,POL012745,210,2024-09-02,49864,others,success
211,POL056633,211,2024-07-20,12154,card,in progress
212,POL005596,212,2024-01-23,17989,paypal,declined
213,POL003737,213,2024-01-01,80903,card,success
214,POL044669,214,2024-10-10,52476,card,success
215,POL013342,215,2024-05-04,57437,others,in progress
216,POL050605,216,2024-11-20,71818,paypal,in progress
217,POL034013,217,2024-04-04,96366,others,in progress
218,POL002025,218,2024-02-04,61195,others,success
219,POL041180,219,2024-11-22,25525,card,success
220,POL004108,220,2024-08-23,16464,paypal,success
221,POL051829,221,2024-04-30,39687,paypal,in progress
222,POL015262,222,2024-04-15,74908,others,success
223,POL012269,223,2024-02-16,16068,card,in progress
224,POL027705,224,2024-03-28,77803,others,declined
225,POL004371,225,2024-02-12,53379,others,declined
