vehicle_id,model,vehicle_age,segment,fuel_type,airbags,ncap_rating,is_parking_camera,is_speed_alert,is_brake_assist,customer_id
1,M6,2.4,B2,Petrol,2,2,No,Yes,Yes,1
2,M6,3.0,B2,Petrol,2,2,No,Yes,Yes,2
3,M4,1.6,C2,Diesel,6,3,Yes,Yes,Yes,3
4,M6,3.8,B2,Petrol,2,2,No,Yes,Yes,4
5,M1,0.4,A,CNG,2,0,No,Yes,No,5
6,M9,0.6,C1,Diesel,2,4,Yes,Yes,No,6
7,M4,1.4,C2,Diesel,6,3,Yes,Yes,Yes,7
8,M1,0.0,A,CNG,2,0,No,Yes,No,8
9,M3,2.2,A,Petrol,2,2,Yes,Yes,No,9
10,M1,0.4,A,CNG,2,0,No,Yes,No,10
11,M4,2.2,C2,Diesel,6,3,Yes,Yes,Yes,11
12,M4,1.0,C2,Diesel,6,3,Yes,Yes,Yes,12
13,M1,1.2,A,CNG,2,0,No,Yes,No,13
14,M10,0.0,Utility,CNG,1,0,No,Yes,No,14
15,M2,0.4,C1,Petrol,2,2,Yes,Yes,Yes,15
16,M1,0.4,A,CNG,2,0,No,Yes,No,16
17,M6,3.6,B2,Petrol,2,2,No,Yes,Yes,17
18,M6,1.2,B2,Petrol,2,2,No,Yes,Yes,18
19,M4,1.4,C2,Diesel,6,3,Yes,Yes,Yes,19
20,M7,1.4,B2,Petrol,6,0,Yes,Yes,Yes,20
21,M8,1.0,B1,CNG,2,2,No,Yes,No,21
22,M4,0.6,C2,Diesel,6,3,Yes,Yes,Yes,22
23,M1,0.0,A,CNG,2,0,No,Yes,No,23
24,M6,2.6,B2,Petrol,2,2,No,Yes,Yes,24
25,M6,6.0,B2,Petrol,2,2,No,Yes,Yes,25
26,M4,1.4,C2,Diesel,6,3,Yes,Yes,Yes,26
27,M6,2.6,B2,Petrol,2,2,No,Yes,Yes,27
28,M6,0.2,B2,Petrol,2,2,No,Yes,Yes,28
29,M8,1.8,B1,CNG,2,2,No,Yes,No,29
30,M1,0.4,A,CNG,2,0,No,Yes,No,30
31,M1,0.4,A,CNG,2,0,No,Yes,No,31
32,M5,0.2,B2,Diesel,2,5,No,Yes,No,32
33,M4,1.4,C2,Diesel,6,3,Yes,Yes,Yes,33
34,M4,2.8,C2,Diesel,6,3,Yes,Yes,Yes,34
35,M5,0.2,B2,Diesel,2,5,No,Yes,No,35
36,M3,3.2,A,Petrol,2,2,Yes,Yes,No,36
37,M1,0.2,A,CNG,2,0,No,Yes,No,37
38,M6,0.8,B2,Petrol,2,2,No,Yes,Yes,38
39,M4,2.8,C2,Diesel,6,3,Yes,Yes,Yes,39
40,M4,1.8,C2,Diesel,6,3,Yes,Yes,Yes,40
41,M1,0.2,A,CNG,2,0,No,Yes,No,41
42,M10,1.6,Utility,CNG,1,0,No,Yes,No,42
43,M9,1.6,C1,Diesel,2,4,Yes,Yes,No,43
44,M4,2.0,C2,Diesel,6,3,Yes,Yes,Yes,44
45,M6,2.2,B2,Petrol,2,2,No,Yes,Yes,45
46,M1,0.4,A,CNG,2,0,No,Yes,No,46
47,M1,0.2,A,CNG,2,0,No,Yes,No,47
48,M7,0.6,B2,Petrol,6,0,Yes,Yes,Yes,48
49,M9,0.8,C1,Diesel,2,4,Yes,Yes,No,49
50,M7,1.8,B2,Petrol,6,0,Yes,Yes,Yes,50
51,M4,0.2,C2,Diesel,6,3,Yes,Yes,Yes,51
52,M1,2.8,A,CNG,2,0,No,Yes,No,52
53,M4,0.8,C2,Diesel,6,3,Yes,Yes,Yes,53
54,M2,2.4,C1,Petrol,2,2,Yes,Yes,Yes,54
55,M8,0.0,B1,CNG,2,2,No,Yes,No,55
